S001, T002, T001, 0:00, 0:00, 19, starts counted (sample ABCD looped ABCBCBCD)
S002, T003, T004, 0:00, 0:00, 4, intro
S003, T003, T004, 0:34, 0:53, 3, refrain with horns
S004, T005, T006, 0:00, 0:37, 60, 
S005, T007, T008, 0:53, 0:00, 10, (very clean: same pitch and only layer)
S006, T010, T009, 0:00, 0:01, 37, probably samples both bars (with two decks?)
S007, T011, T012, 0:01, 0:00, 85, (sample a bit gated in the end)
S008, T014, T013, 1:14, 0:05, 10, beginning of riff counted (rest 'chopped')
S009, T015, T016, 0:00, 0:03, 37, interpolation or other version
S010, T018, T017, 0:00, 0:00, 1, 
S012, T021, T020, 0:00, 0:00, 38, time sampled unclear (0:00 or 2:25?)
S013, T023, T022, 0:01, 0:10, 51, piano
S014, T025, T024, 0:00, 0:21, 37, 
S015, T027, T026, 0:05, 0:12, 38, 
S016, T029, T028, 0:00, 0:37, 50, 
S017, T031, T030, 0:08, 0:10, 43, first half of loop
S018, T033, T032, 0:01, 0:18, 217, (samples 2nd measure hence short and no melody)
S019, T035, T034, 0:40, 0:10, 48, (vocals)
S020, T033, T036, 0:00, 0:02, 33, 
S021, T038, T037, 0:00, 0:00, 50, the guitar bar
S022, T043, T037, 2:21, 0:26, 22, 
S023, T040, T039, 0:00, 0:02, 21, interpolation
S024, T042, T041, 0:00, 0:04, 40, the guitar bar
S025, T045, T044, 0:00, 0:39, 67, very soft and hard to count
S027, T049, T048, 0:00, 0:09, 25, 
S028, T050, T048, 0:00, 0:00, 19, half samples not counted (second halves)
S029, T052, T051, 0:00, 0:10, 85, only the measures with single BD counted
S030, T052, T039, 0:00, 0:13, 76, 
S031, T052, T037, 0:00, 0:04, 110, BD filtered out or replay
S032, T052, T053, 0:01, 0:20, 147, HH filtered out or replay
S033, T045, T054, 0:00, 0:12, 92, 
S035, T056, T057, 0:03, 0:06, 44,  
S036, T058, T059, 0:05, 0:10, 26, Short sample – intro not counted
S037, T060, T061, 1:03, 1:03, 3, vocals only
S038, T062, T063, 0:35, 0:01, 5, refrain w/ vocals (long)
S039, T064, T065, 0:25, 0:22, 157, the flute verse
S040, T066, T067, 0:07, 0:18, 34, both instr/vocal instr parts chopped?
S041, T068, T069, 0:06, 0:13, 23, nice and long (11 seconds)
S042, T070, T071, 0:00, 0:00, 38, 
S043, T072, T073, 0:00, 0:05, 55, piano part
S044, T074, T075, 0:07, 0:08, 79, Short alternates full/half sample
S045, T076, T077, 0:32, 0:00, 143, Only 8 note string riff counted
S046, T078, T079, 0:04, 0:02, 151, Less than one second
S047, T080, T081, 0:03, 0:20, 15, Only repetitions of string riff counted
S048, T082, T048, 0:02, 0:00, 68, 
S049, T083, T054, 5:21, 0:12, 80, 
S050, T085, T084, 0:01, 0:00, 45, 
S051, T116, T086, 1:28, 0:20, 80, 
S052, T088, T086, 0:01, 2:59, 3, 
S054, T090, T091, 0:00, 0:03, 91, 
S055, T090, T092, 0:00, 0:00, 101, 
S056, T094, T093, 0:05, 0:00, 60, 
